Date,Open,High,Low
9/21/21,143.929993,144.600006,142.779999
9/22/21,144.449997,146.429993,143.699997
9/23/21,146.649994,147.080002,145.639999
9/24/21,145.660004,147.470001,145.559998
9/27/21,145.470001,145.960007,143.820007
9/28/21,143.25,144.75,141.690002
9/29/21,142.470001,144.449997,142.029999
9/30/21,143.660004,144.380005,141.279999
10/1/21,141.899994,142.919998,139.110001
10/4/21,141.759995,142.210007,138.270004
10/5/21,139.490005,142.240005,139.360001
10/6/21,139.470001,142.149994,138.369995
10/7/21,143.059998,144.220001,142.720001
10/8/21,144.029999,144.179993,142.559998
10/11/21,142.270004,144.809998,141.809998
10/12/21,143.229996,143.25,141.039993
10/13/21,141.240005,141.399994,139.199997
10/14/21,142.110001,143.880005,141.509995
10/15/21,143.770004,144.899994,143.509995
10/18/21,143.449997,146.839996,143.160004
10/19/21,147.009995,149.169998,146.550003
